noise_level,lr_accuracy, rf_accuracy, lr_spearman_rank_correlation, rf_spearman_rank_correlation
0.0, 0.8688524590163934, 0.885246, 0.983516, 1
0.05,0.8688524590163934, 0.901639, 0.989011, 0.9395604395604396
0.1,0.8688524590163934, 0.885246, 0.978022, 0.945054945054945
0.15,0.8688524590163934,0.868852, 0.961538, 0.9395604395604396
0.2,0.8688524590163934,0.885246, 0.868132, 0.9395604395604396
0.25,0.8524590163934426,0.934426, 0.868132, 0.9505494505494506
0.3,0.8524590163934426,0.901639, 0.758242, 0.9725274725274725
0.35,0.8524590163934426,0.901639, 0.686813, 0.9505494505494506
0.4,0.8524590163934426,0.918033, 0.587912, 0.9615384615384615
0.45,0.8688524590163934,0.901639, 0.494505, 0.967032967032967
0.5,0.8688524590163934,0.852459, 0.494505, 0.8791208791208791
0.6,0.8688524590163934,0.918033, 0.494505, 0.8021978021978022
0.7,0.8852459016393442,0.868852, 0.483516, 0.7747252747252747
0.8,0.9016393442622951,0.868852, 0.428571, 0.8406593406593407